state id: 1, label: empty
state id: 2, label: 1000100111
state id: 3, label: 1000101111
state id: 4, label: 1000110111
state id: 5, label: 1000111111
state id: 6, label: 1000011111
state id: 7, label: 1001100111
state id: 8, label: 1001101111
state id: 9, label: 1001110111
state id: 10, label: 1001111111
state id: 11, label: 1001011111
state id: 12, label: 1001011001
state id: 13, label: 1001100001
state id: 14, label: 1001101001
state id: 15, label: 1001111001
state id: 16, label: 1001001001
state id: 17, label: 1001100100
state id: 18, label: 1001100000
state id: 19, label: 1000101000
state id: 20, label: 1000111000
state id: 21, label: 1000011000
state id: 22, label: 1001101000
state id: 23, label: 1001111000
state id: 24, label: 1001011000
state id: 25, label: 1001100110
state id: 26, label: 1001011110
state id: 27, label: 1001001000
state id: 28, label: 1000100110
state id: 29, label: 1000100100
state id: 30, label: 1011100000
state id: 31, label: 1101011000
state id: 32, label: 1111011000
state id: 33, label: 1001001111
state id: 34, label: 1000010111
state id: 35, label: 1001100101
state id: 36, label: 1000100000
state id: 37, label: 1000011110
state id: 38, label: 1010100000
state id: 39, label: 1110011000
state id: 40, label: 1001110101
state id: 41, label: 1001011101
state id: 42, label: 1001101101
state id: 43, label: 1001111101
state id: 44, label: 1001101100
state id: 45, label: 1001111100
state id: 46, label: 1001011100
state id: 47, label: 1001000111
state id: 48, label: 1001000000
state id: 49, label: 1001010111
state id: 50, label: 1000110110
state id: 51, label: 1001110110
state id: 52, label: 1001110100
state id: 53, label: 1001110000
state id: 54, label: 1001101110
state id: 55, label: 1000011100
state id: 56, label: 1000101100
state id: 57, label: 1000110000
