state id: 1, label: empty
state id: 2, label: 10111111101
state id: 3, label: 10111111111
state id: 4, label: 10111110101
state id: 5, label: 10101110101
state id: 6, label: 10101100101
state id: 7, label: 10100100001
state id: 8, label: 10100000001
state id: 9, label: 10000000001
state id: 10, label: 10000000000
state id: 11, label: 11000000000
state id: 12, label: 10101111101
state id: 13, label: 10100111101
state id: 14, label: 10100011101
state id: 15, label: 10100010101
state id: 16, label: 10100000101
state id: 17, label: 10111110111
state id: 18, label: 10100011111
state id: 19, label: 10100100101
state id: 20, label: 10100000111
state id: 21, label: 10100010111
state id: 22, label: 10000000011
state id: 23, label: 10100000011
state id: 24, label: 10101110111
state id: 25, label: 10000000010
